SIGARETTE;DAVIDOFF MENTHOL ;522;250.0;1.0;1.0;5.0;0.2;40306698;4030600001820;10
SIGARETTE;BENSON & HEDGES BLUE 100'S;3014;210.0;1.0;1.0;4.2;0.2;4033100049187;4033100049194;10
SIGARETTE;CAMEL ICON BLUE;2321;230.0;0.0;0.0;4.6;0.2;4033100012938;4033100012945;10
TRINCIATI PER SIGARETTA;DRUM WHITE;361;185.0;0.6;0.4;7.4;0.4;8710900071292;NO;10
TRINCIATI PER SIGARETTA;DRUM BRIGHT BLUE;706;185.0;0.8;0.8;7.4;0.4;8710900071162;NO;10
SIGARETTE;CHESTERFIELD BLUE KS DA 10;5;220.0;3.0;2.0;2.2;0.2;87248210;8724800001952;20
SIGARETTE;GAULOISES BLONDES BLU;558;220.0;2.0;2.0;4.4;0.2;30003002;3258170924337;10
TRINCIATI PER SIGARETTA;FORTUNA BLUE;1997;185.0;0.0;0.0;7.4;0.4;8416000501188;NO;10
TRINCIATI PER SIGARETTA;CAMEL BLUE 10G;2876;190.0;1.5;1.5;1.9;0.1;5010175818725;5010175818732;10
TRINCIATI PER PIPA;DOVER;2718;116.0;0.2;0.2;2.9;0.125;5998900506959;NO;5
SIGARETTE;PETER STUYVESANT GOLD 100'S;1788;220.0;1.0;1.0;4.4;0.2;42068273;4030600012420;10
TRINCIATI PER SIGARETTA;CHESTERFIELD ORIGINAL 80 G;2557;183.75;1.0;1.0;14.7;0.4;8032817680498;NO;5
SIGARETTE;LUCKY STRIKE GUSTO AUTENTICO;2612;240.0;2.0;1.0;4.8;0.2;42221913;4031300100271;10
TRINCIATI PER SIGARETTA;DRUM ORIGINAL;336;185.0;1.1;1.0;7.4;0.4;8710900071001;NO;10
SIGARETTE;VIRGINIA SLIMS BIANCA;2189;230.0;0.0;0.0;4.6;0.2;80746867;8032817680238;10
SIGARETTE;CAMEL ESSENTIAL BLUE;2240;240.0;1.0;1.0;4.8;0.2;42137252;4033100007255;10
SIGARETTE;BENSON & HEDGES BLUE DA 10;2983;210.0;0.0;0.0;2.1;0.2;4033100045905;4033100045912;20
TRINCIATI PER SIGARETTA;ARIZONA VIRGINIA;2157;180.0;0.7;0.7;5.4000006;0.3;5411808062698;NO;10
SIGARETTE;CAMEL ACTIVATE WHITE DA 10 ;3022;240.0;0.0;0.0;2.4;0.2;4033100048814;NO;20
SIGARETTE;PHILIP MORRIS SELECTION AZURE;2694;225.0;1.0;0.0;4.5;0.2;80974581;8032817680665;10
SIGARETTE;LUCKY STRIKE BLUE DA 10;1836;240.0;0.0;0.0;2.4;0.2;40318462;4031800001184;20
SIGARETTE;CHESTERFIELD SILVER;2257;215.0;1.0;1.0;4.3;0.2;80790242;8032817681167;10
SIGARETTE;WINSTON CLASSIC DA 10;1775;220.0;0.0;-1.0;2.2;0.2;40329543;4032900004501;20
TRINCIATI PER SIGARETTA;DOMINGO NATURAL 30 G;2307;180.0;0.0;0.0;5.4;0.36;5411808062780;5411808162787;12
SIGARETTE;ROTHMANS KS BLUE;221;260.0;0.0;0.0;5.2;0.2;50393305;8721700973013;10
SIGARETTE;BENSON & HEDGES RED 100'S;3013;210.0;2.0;2.0;4.2;0.2;4033100012037;4033100049163;10
TRINCIATI PER SIGARETTA;CAMEL 20G;2772;180.0;3.0;1.9;3.6;0.2;5010175817971;5010175817988;10
TRINCIATI PER SIGARETTA;OLD HOLBORN YELLOW 25GR;2529;200.0;0.6;0.5;5.0;0.25;5010175800294;NO;10
SIGARETTE;PALL MALL NEW ORLEANS (RED) KS DA 10;716;230.0;0.0;0.0;2.3;0.2;40318363;4031800001504;20
TRINCIATI PER SIGARETTA;SALSA SMOOTH TASTE 20 GR;2588;180.0;0.0;0.0;3.6;0.1;NO;NO;5
SIGARETTI;CAFE' CREME FILTER AROME;1233;128.0;0.5;0.5;3.2;0.25;8720400100743;8720400100750;10
SIGARETTE;MULTIFILTER PHILIP MORRIS SLIMS BLU;369;260.0;1.0;1.0;5.2;0.2;87248906;4023500022804;10
SIGARETTE;MERIT BIANCA SLIM;81;250.0;4.0;3.0;5.0;0.2;87248234;8724800000528;10
SIGARI;PEDRONI VANILLA ICE;2330;100.0;0.0;0.0;1.0;0.2;8027463181574;NO;20
SIGARETTE;BLACK DEVIL FINEST FLAVOUR;2164;215.0;0.0;0.0;4.3;0.2;8710151558375;8710151558382;10
TRINCIATI PER SIGARETTA;CHESTERFIELD ORIGINAL;2556;185.0;2.8;1.9;3.7;0.2;8032817680474;8032817680481;10
SIGARETTE;FORTUNA BLUE;1217;215.0;1.0;0.0;4.3;0.2;8416000500709;8416000600218;10
